SCHNAME	N_PUPILS	KS1	KS2	P_SEN
Essendine Primary School	475	13.3	29.3	27
Gateway Primary School	708	13.2	29.3	61
George Eliot Primary School	437	14.7	30.5	34
Hallfield Primary School	639	15.1	30.1	26
Millbank Academy	445	15.2	28.7	20
Our Lady of Dolours RC Primary School	308	13.7	27.3	50
Paddington Green Primary School	437	11.6	26.9	37
Queen's Park Primary School	311	13.9	28.4	31
St Augustine's CofE Primary School	228	14.2	28.3	13
St Barnabas' CofE Primary School	150	14.1	30.3	17
St Clement Danes CofE Primary School	218	14.4	27.2	32
St Edward's RC Primary School	408	13.1	27.7	28
St Gabriel's CofE Primary School	206	13.9	29.2	26
St George's Hanover Square CofE Primary School	192	15.7	30.6	16
St James's and St Michael's CofE Voluntary Aided Primary School	182	14.7	29.9	33
St Joseph's RC Primary School	319	16.3	32.0	11
St Luke's CofE Primary School	191	10.9	26.6	37
St Mary Magdalene CofE Primary School	222	14.9	29.2	15
St Mary of the Angels RC Primary School	320	15.0	27.8	26
St Mary's Bryanston Square CofE School	225	14.2	28.1	34
St Matthew's School, Westminster	208	15.8	29.3	25
St Peter's CofE School	208	13.5	30.0	46
St Peter's Eaton Square CofE Primary School	288	16.4	31.3	21
St Saviour's CofE Primary School	228	16.9	31.3	16
St Stephen's CofE Primary School	223	12.6	26.3	34
St Vincent de Paul RC Primary School	249	15.0	29.5	20
St Vincent's RC Primary School	233	15.3	31.1	34
Soho Parish CofE Primary School	146	16.9	31.4	26
Westminster Cathedral RC Primary School	205	15.0	29.4	31
Wilberforce Primary School	375	12.6	28.1	38
Beam Primary School	575	14.7	28.9	10
Becontree Primary School	495	14.5	28.8	26
Dorothy Barley Junior School and Special Needs Base (MLD)	433	15.2	26.9	28
Eastbury Primary School	792	14.3	27.2	25
Five Elms Primary School	517	14.6	28.0	22
George Carey Church of England Primary School	383	15.9	28.2	5
Godwin Primary School	558	13.3	28.6	19
Grafton Primary School	910	15.1	29.1	16
Henry Green Primary School	456	14.5	26.2	19
Hunters Hall Primary School	706	14.9	28.6	18
The James Cambell Primary School	843	14.7	26.2	22
John Perry Primary School	482	13.0	28.0	22
The Leys Primary School	366	12.9	28.5	15
Manor Junior School	481	16.6	29.4	21
Manor Longbridge School	898	14.4	27.8	32
Marks Gate Junior School	312	16.1	29.3	21
Marsh Green Primary School	302	14.6	25.6	22
Monteagle Primary School	705	14.4	27.1	14
Northbury Junior School	468	14.7	27.8	18
Parsloes Primary School	526	13.7	27.1	19
Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base	562	14.4	27.4	24
Ripple Primary School	982	14.2	27.2	46
Roding Primary School	941	14.5	29.0	37
Rush Green Primary School	346	15.8	28.3	20
St Joseph's Catholic Primary School	405	15.9	28.6	18
St Joseph's Catholic Primary School	335	14.4	27.3	26
St Margarets CofE Primary School	454	15.3	28.2	23
St Peter's Catholic Primary School	419	15.3	28.3	20
The St Teresa Catholic Primary School	222	16.4	29.3	4
St Vincent's Catholic Primary School	233	16.7	29.1	10
Southwood Primary School	515	13.3	28.7	24
Thames View Junior School	411	17.3	28.8	16
Thomas Arnold Primary School	468	13.8	27.3	12
Valence Primary School	917	15.5	29.6	35
Warren Junior School	443	15.6	30.5	19
William Bellamy Primary School	938	14.1	27.4	15
William Ford CofE Primary School	355	15.8	30.4	9
Akiva School	420	18.6	32.7	22
All Saints' CofE Primary School N20	249	16.3	29.3	13
All Saints' CofE Primary School NW2	210	14.7	26.4	38
The Annunciation RC Junior School	223	16.7	29.2	25
Barnfield Primary School	537	15.4	28.7	23
Beis Yaakov Primary School	511	15.8	29.2	29
Beit Shvidler Primary School	209	16.7	29.1	43
Bell Lane Primary School	424	13.8	29.5	38
Blessed Dominic RC School	289	13.9	29.0	21
Broadfields Primary School	575	14.8	29.1	44
Brookland Junior School	358	16.3	31.2	20
Brunswick Park Primary and Nursery School	305	12.5	28.7	45
Chalgrove Primary School	204	12.5	27.3	37
Childs Hill School	366	12.6	28.3	36
Christ Church Primary School	242	16.5	31.1	28
Church Hill School	230	15.0	28.0	33
Claremont Primary School	423	13.4	27.6	41
Colindale Primary School	644	15.7	29.0	21
Coppetts Wood Primary School	292	15.8	27.5	33
Courtland School	213	15.6	30.8	33
Cromer Road Primary School	405	14.2	29.4	22
Danegrove Primary School	656	15.6	30.4	36
Deansbrook Junior School	386	15.6	26.5	49
Dollis Junior School	340	15.2	27.0	31
Edgware Junior School	348	13.4	25.5	42
Fairway Primary School and Children's Centre	285	14.6	29.4	30
Foulds School	314	16.1	30.1	21
Frith Manor Primary School	706	16.2	30.1	16
Garden Suburb Junior School	352	15.8	30.8	15
Goldbeaters Primary School	468	15.8	29.1	43
Hasmonean Primary School	242	16.7	29.9	16
Hollickwood Primary School	230	13.7	25.8	22
Holly Park Primary School	561	15.5	28.1	21
Holy Trinity CofE Primary School	242	15.9	31.2	29
The Hyde School	489	13.7	27.1	34
Independent Jewish Day School	219	17.6	31.9	25
Livingstone Primary and Nursery School	229	13.7	28.9	63
Manorside Primary School	290	15.9	31.2	25
Martin Primary School	549	13.8	27.7	18
Mathilda Marks-Kennedy Jewish Primary School	223	16.0	30.8	22
Menorah Foundation School	282	17.1	30.5	31
Menorah Primary School	442	16.1	31.7	34
Monken Hadley CofE Primary School	150	16.3	30.6	8
Monkfrith Primary School	247	16.5	29.3	19
Moss Hall Junior School	388	15.7	28.6	18
Northside Primary School	261	15.8	30.6	23
The Orion Primary School	543	15.6	29.4	40
Osidge Primary School	420	14.5	28.5	17
Our Lady of Lourdes RC School	253	14.2	28.6	50
Pardes House Primary School	197	15.2	28.6	46
Parkfield Primary School	411	13.9	25.5	18
Queenswell Junior School	312	15.3	29.6	33
Rosh Pinah Primary School	497	17.3	30.3	27
Sacred Heart Roman Catholic Primary School	420	17.4	30.8	8
St Agnes RC School	340	15.3	29.6	21
St Andrew's CofE Voluntary Aided Primary School, Totteridge	207	17.8	30.9	15
St Catherine's RC School	466	16.6	31.1	21
St John's CofE Junior Mixed and Infant School	245	17.0	30.7	33
St John's CofE Primary School	249	16.0	30.4	43
St Joseph's RC Junior School	250	16.1	30.0	12
St Mary's and St John's CofE Primary School	490	14.9	29.7	27
St Mary's CofE Primary School	475	16.4	29.8	16
St Mary's CofE Primary School, East Barnet	214	16.0	30.8	25
St Paul's CofE Primary School N11	238	16.7	30.3	16
St Paul's CofE Primary School NW7	207	16.3	30.4	28
St Theresa's RC School	238	16.1	31.6	23
St Vincent's Catholic Primary School	311	16.3	30.1	15
Summerside Primary School	461	13.2	25.6	29
Sunnyfields Primary School	252	15.1	28.5	56
Trent CofE Primary School	210	17.3	31.7	10
Tudor Primary School	225	14.6	29.5	40
Underhill Junior School	264	14.8	28.3	33
Wessex Gardens Primary School	497	14.3	28.0	40
Whitings Hill Primary School	442	15.0	30.1	41
Woodcroft Primary School	469	14.4	28.1	33
Woodridge Primary School	239	18.9	32.6	7
Barnehurst Junior (Foundation) School	246	15.9	29.3	12
Barrington Primary School	239	15.2	27.9	30
Bedonwell Junior School	474	17.3	29.1	10
Belmont Primary School	476	16.3	30.0	11
Belvedere Junior School	287	14.6	27.6	13
Birkbeck Primary School	461	16.3	29.4	13
Bishop Ridley Church of England VA Primary School	425	15.3	29.2	12
Brampton Primary School	417	16.0	28.7	29
Burnt Oak Junior School	235	17.8	29.7	10
Bursted Wood Primary School	471	15.8	30.9	20
Castilion Primary School	394	15.7	29.3	15
Christ Church, Erith,CofE VA Primary School	368	13.7	27.9	29
Crook Log Primary School	403	15.7	29.1	28
Danson Primary School	455	16.9	30.7	16
Days Lane Primary School	680	17.3	30.6	8
Dulverton Primary School	439	15.6	31.1	11
East Wickham Junior School	340	15.7	27.7	19
Eastcote Primary School	227	15.6	29.4	14
Foster's Primary School	390	15.4	29.6	15
Gravel Hill Primary School	257	15.2	29.7	0
Haberdashers' Aske's Crayford Academy	795	13.8	28.2	40
Hillsgrove Primary School	433	15.9	29.8	20
Holy Trinity Lamorbey Church of England Primary School	431	17.3	30.1	10
Hook Lane Primary School	456	16.1	29.4	16
Hurst Primary School	634	15.5	29.7	7
Jubilee Primary School	433	14.2	29.6	51
Lessness Heath Primary School	611	14.1	27.2	22
Longlands Primary School	307	16.0	30.0	20
Mayplace Primary School	457	15.8	28.3	13
Normandy Primary School	552	13.7	27.2	22
Northumberland Heath Primary School	528	14.6	28.9	17
Northwood Primary School	200	13.3	27.2	24
Old Bexley Church of England Primary School	708	17.4	30.7	5
Orchard School	226	14.3	29.5	40
Our Lady of the Rosary Catholic Primary School	469	16.4	29.9	10
Parkway Primary School	253	15.6	29.2	20
Peareswood Primary School	298	12.4	27.5	22
Pelham Primary School	445	15.3	29.6	10
Royal Park Primary School	236	14.3	29.3	16
St Augustine of Canterbury CofE VA Primary School	218	15.1	28.4	14
St Fidelis Catholic Primary School	470	15.9	29.3	16
St John Fisher Catholic Primary School	210	16.6	30.7	13
St Joseph's Catholic Primary School	208	15.6	30.9	10
St Michael's East Wickham Church of England Voluntary Aided Primary School	207	16.5	30.8	16
St Paulinus Church of England Primary School	210	16.0	30.3	13
St Peter Chanel Catholic Primary School	203	15.8	29.8	24
St Stephen's Catholic Primary School	420	16.2	31.1	9
St Thomas More Catholic Primary School	352	16.5	30.4	16
Sherwood Park Primary School	409	14.3	27.6	15
Slade Green Junior School	258	14.9	27.1	20
Upland Primary School	459	16.8	30.2	9
Upton Primary School	480	16.2	29.3	26
Anson Primary School	419	14.0	28.0	25
Avigdor Hirsch Torah Temimah Primary School	208	16.1	28.6	39
Barham Primary School	750	14.3	29.2	16
Braintcroft Primary School	767	12.1	26.9	21
Brentfield Primary School	558	15.1	28.3	25
Byron Court Primary School	624	15.5	29.0	7
Chalkhill Primary School	537	13.5	29.3	29
Christ Church CofE Primary School	212	13.0	26.1	19
Donnington Primary School	235	14.3	27.6	13
Elsley Primary School	467	13.4	28.1	18
Fryent Primary School	520	14.6	27.7	33
Furness Primary School	525	12.8	27.3	44
Gladstone Park School	674	14.7	28.7	25
Harlesden Primary School	228	12.2	28.4	34
Islamia Primary School	377	15.6	29.1	13
John Keble CofE Primary School	434	14.1	28.1	13
Kensal Rise Primary School	640	14.2	23.6	23
The Kilburn Park School Foundation	191	14.5	29.4	19
Kingsbury Green Primary School	647	12.5	28.7	18
Leopold Primary School	480	16.1	29.1	16
Lyon Park Junior School	480	14.6	27.2	23
Malorees Junior School	240	16.6	29.3	31
Michael Sobell Sinai School	683	16.1	29.9	28
Mitchell Brook Primary School	500	13.7	28.6	33
Mora Primary School	447	12.8	27.2	33
Mount Stewart Junior School	359	16.1	29.9	16
Newfield Primary School	413	13.8	26.4	30
North West London Jewish Day School	279	17.3	31.8	24
Northview Junior and Infant School	243	14.9	30.3	13
Oakington Manor Primary School	742	13.8	29.2	69
Oliver Goldsmith Primary School	462	15.4	28.3	14
Our Lady of Grace Catholic Junior School	239	16.2	31.1	13
Our Lady of Lourdes RC Primary School	236	15.0	28.4	28
Park Lane Primary School	446	15.4	29.1	35
Preston Park Primary School	806	14.2	29.6	12
Princess Frederica CofE Primary School	438	17.0	30.4	30
Roe Green Junior School	480	15.5	27.8	16
St Andrew and St Francis CofE Primary School	472	13.3	26.7	22
St Joseph RC Junior School	279	16.7	30.7	24
St Joseph's Roman Catholic Primary School	491	14.8	30.9	56
St Margaret Clitherow RC Primary School	235	13.2	28.8	29
St Mary Magdalen Catholic Junior School	353	15.7	28.9	23
St Mary's CofE Primary School	316	14.0	29.7	25
St Mary's RC Primary School	396	15.6	28.0	32
St Robert Southwell RC Primary School	406	15.8	30.3	24
Salusbury Primary School	650	15.2	29.0	30
The Stonebridge School	416	13.3	26.9	54
Sudbury Primary School	900	13.5	30.0	32
Uxendon Manor Primary School	468	15.3	29.6	19
Wembley Primary School	870	13.4	29.1	31
Wykeham Primary School	525	15.8	30.6	19
Alexandra Junior School	238	16.1	28.9	10
Balgowan Primary School	650	16.0	29.5	17
Bickley Primary School	361	16.2	30.3	17
Biggin Hill Primary School	407	16.0	28.5	12
Blenheim Primary School and Nursery	215	12.1	24.4	33
Burnt Ash Primary School	418	14.0	31.6	30
Castlecombe Primary School	234	14.4	27.7	37
Chelsfield Primary School	98	15.0	27.3	27
Chislehurst (St Nicholas) Church of England Voluntary Aided Primary School	216	18.2	33.2	0
Churchfields Primary School	353	14.2	27.7	38
Clare House Primary School	242	15.9	31.2	15
Crofton Junior School	699	15.9	31.0	17
Cudham Church of England Primary School	94	15.2	28.9	14
Darrick Wood Junior School	377	16.8	30.0	10
Downe Primary School	89	14.9	27.3	27
Edgebury Primary School	225	16.4	30.5	15
Farnborough Primary School	219	16.1	31.1	15
Gray's Farm Primary School	437	14.6	26.9	18
Green Street Green Primary School	436	15.1	28.9	45
Hawes Down Junior School	255	16.7	30.5	18
Hayes Primary School	646	17.4	31.1	7
Highfield Junior School	380	17.4	30.9	8
The Highway Primary School	213	15.9	29.3	26
Hillside Primary School	362	12.7	25.4	36
Holy Innocents Catholic Primary School	216	16.1	29.9	15
James Dixon Primary School	401	15.6	27.6	28
Keston Church of England Primary School	245	15.1	28.0	6
Leesons Primary School	208	13.8	26.8	27
Malcolm Primary School	313	15.4	29.0	20
Manor Oak Primary School	203	11.6	24.8	43
Marian Vian Primary School	621	14.8	28.6	24
Midfield Primary School	288	16.6	29.3	50
Mottingham Primary School	305	14.2	28.1	44
Oak Lodge Primary School	644	16.2	29.4	12
Oaklands Primary School	446	15.4	28.1	27
Parish Church of England Primary School	491	16.0	29.5	19
Perry Hall Primary School	424	15.4	29.5	20
Pickhurst Junior School	502	16.0	31.1	25
Poverest Primary School	207	14.9	28.2	20
Pratts Bottom Primary School	69	14.6	29.6	40
Princes Plain Primary School	490	12.4	26.4	52
Raglan Primary School	441	14.9	27.6	27
Red Hill Primary School	674	16.0	28.3	20
Royston Primary School	446	14.0	26.2	38
St Anthony's Roman Catholic Primary School	174	13.9	28.3	38
St George's, Bickley, Church of England Primary School	297	15.0	30.2	30
St James' Roman Catholic Primary School	216	18.1	32.7	13
St John's Church of England Primary School	295	15.5	25.8	31
St Joseph's Catholic Primary School	209	16.5	31.0	10
St Mark's Church of England Primary School	424	16.7	30.9	9
St Mary Cray Primary School	189	12.5	25.1	45
St Mary's Catholic Primary School, Beckenham	428	17.4	29.7	20
St Paul's Cray Church of England Primary School	226	14.0	26.9	52
St Peter and St Paul Catholic Primary School	207	15.1	28.0	36
St Philomena's Roman Catholic Primary School	210	15.7	28.7	25
St Vincent's Catholic Primary School	226	16.4	31.1	9
Scotts Park Primary School	436	14.5	28.8	23
Southborough Primary School	428	14.2	27.1	35
Stewart Fleming Primary School	364	13.4	29.0	28
Tubbenden Primary School	609	16.8	29.2	14
Unicorn Primary School	311	16.4	30.3	9
Valley Primary School	478	15.8	30.2	17
Warren Road Primary School	844	16.8	31.0	8
Wickham Common Primary School	425	16.0	29.7	8
Worsley Bridge Primary School	164	13.1	27.0	16
Aerodrome Primary Academy	465	13.4	26.6	27
All Saints CofE Primary School	437	15.0	27.1	37
Applegarth School	380	14.0	27.9	29
ARK Oval Primary Academy	436	14.1	28.0	12
Atwood Primary School	493	16.8	29.0	30
Beaumont Primary School	180	15.5	29.6	10
Benson Primary and Nursery School	455	15.4	29.1	17
Beulah Junior School	352	15.1	27.0	30
Broadmead Primary School	656	13.9	25.7	40
Castle Hill Primary School	452	12.7	24.8	46
Chipstead Valley Primary School	412	15.6	29.2	18
Christ Church CofE Primary School (Purley)	275	15.9	29.8	15
Coulsdon CofE Primary School	210	16.2	29.9	34
Courtwood Primary School	205	15.3	28.4	11
Cypress Primary School	691	15.1	27.6	42
David Livingstone Academy	238	13.1	28.6	40
Davidson Primary School	442	15.1	28.8	15
Downsview Primary and Nursery School	493	16.7	29.6	26
Ecclesbourne Primary School	445	12.9	27.9	22
Elmwood Junior School	474	15.6	29.5	24
Fairchildes Primary School	505	15.6	29.5	20
Forestdale Primary School	238	15.0	30.3	27
Gilbert Scott Primary School	230	14.2	26.2	39
Gonville Academy	525	14.8	29.7	19
Good Shepherd Catholic Primary School	215	15.1	30.2	13
Greenvale Primary School	215	17.0	29.6	16
Gresham Primary School	240	16.1	29.8	23
The Hayes Primary School	402	16.7	30.3	24
Heavers Farm Primary School	533	14.3	27.5	43
Howard Primary School	235	15.9	29.0	26
Kenley Primary School	210	15.2	29.9	14
Kensington Avenue Primary School	602	13.9	27.7	25
Keston Primary School	471	16.9	31.0	10
Kingsley Primary School	856	12.6	26.7	36
Margaret Roper Catholic Primary School	215	16.8	28.4	25
Monks Orchard School	499	14.3	29.1	42
Norbury Manor Primary School	487	13.2	28.5	40
Oasis Academy Byron	215	14.4	28.8	35
Orchard Way Primary School	208	15.3	28.7	13
Parish Church CofE Junior School	390	16.6	29.0	16
Park Hill Junior School	330	16.6	30.7	18
Purley Oaks Primary School	515	13.7	27.9	26
Regina Coeli Catholic Primary School	419	16.2	28.7	29
Ridgeway Primary School	675	16.7	30.8	13
Rockmount Primary School	455	14.4	29.5	43
Roke Primary School	441	14.5	27.5	24
Rowdown Primary School	340	14.0	28.6	41
Ryelands Primary School	430	16.2	26.1	39
St Aidan's Catholic Primary School	209	17.6	30.9	21
St Chad's Catholic Primary School	452	15.4	30.3	24
St Cyprian's Greek Orthodox Primary School	476	15.3	30.2	6
St James the Great RC Primary and Nursery School	483	16.1	29.7	11
St John's CofE Primary School	238	16.4	30.2	16
St Joseph's RC Junior School	227	15.8	26.5	32
St Mark's CofE Primary School	207	13.0	26.3	20
St Mary's RC Junior School	237	15.8	29.7	19
St Peter's Primary School	298	16.5	29.0	17
St Thomas Becket Catholic Primary School	411	16.2	29.5	11
Selsdon Primary and Nursery School	637	14.2	26.5	29
Smitham Primary School	476	15.0	28.2	20
Forest Academy	428	13.0	28.0	29
Wattenden Primary School	194	13.8	27.3	16
